temp,pression,hum,CO,CO2,PM2.5,PM10,feu
9.97,942.600702719107,100,0.5,478.946437835693,3.1,8.9,0
9.11,942.464459503372,100,0.5,481.873025894165,3.8,10.2,0
17.01,940.215287134951,44.8557519035598,0.5,399.768819808959,3.2,7.9,0
10.61,942.873620974172,100,0.5,458.086004257202,3.9,11.6,0
9.03,942.505531781918,100,0.5,472.860803604125,3.5,9.9,0
12.14,945.738139098394,100,0.5,482.119789123535,2.2,5.2,0
10.17,944.081909003817,100,0.5,509.764423370361,2.5,5.1,0
18.02,944.277520947681,52.0317154268479,0.5,397.973527908325,3.5,11.8,0
31.9,942.517205960265,26.36126311736,0.5,420.07493019104,7.7,9.7,0
35.18,943.727415489511,24.5189996864533,0.5,399.1477394104,3.3,8.4,0
12.73,939.933202394769,100,0.5,482.167472839355,4.2,5.8,0
19.09,940.498049459851,54.0277900186346,0.5,421.824922561645,4.2,5.7,0
9.77,941.410664899935,100,0.5,509.760847091674,3.9,5.6,0
11.44,942.621640993093,100,0.5,459.093322753906,3.3,10.9,0
11.58,942.581789169058,100,0.5,460.116138458251,3,8.4,0
11.21,944.698906072017,100,0.5,494.951477050781,2.2,6.2,0
12.95,932.648205926029,100,0.5,499.97257232666,7.7,21.8,0
9.51,942.63017962892,100,0.5,478.803386688232,3.4,10.3,0
8.65,941.325884671567,100,0.5,491.614809036254,7.1,9.9,0
13.5,945.788457221376,100,0.5,479.104986190795,0.9,1.6,0
16.22,943.814251504907,94.4855753653201,0.5,428.50302696228,0.8,2,0
11.22,943.050148159387,100,0.5,473.061075210571,3.5,10,0
10.19,941.416717484697,100,0.5,517.577400207519,3.5,3.9,0
17.65,940.045859947271,42.6288452060826,0.5,401.754846572875,3.6,11.2,0
9.26,942.550755594707,100,0.5,467.89454460144,3.5,10.2,0
20.35,944.345126506717,49.0754888272045,0.5,455.786457061767,2.4,6.4,0
16.83,940.957063432452,48.2192310835107,0.5,413.673391342163,3.3,10.1,0
28.15,942.961810474196,30.6325084932973,0.5,398.142805099487,7.5,11.1,0
16.73,941.115371159958,52.2062445439603,0.5,441.573133468627,3,9.8,0
10.89,943.247612495502,100,0.5,472.056140899658,3.2,8.1,0
32.79,943.85354022661,26.5562783198626,0.5,398.368110656738,3.8,10.7,0
11.21,942.99423948875,100,0.5,460.073223114013,3.4,9.1,0
21.07,943.473156209733,42.6382477998646,0.5,398.078432083129,0.9,2.2,0
16.79,940.56101093456,51.0785360171967,0.5,409.638156890869,3.8,10.6,0
16.67,941.364864536351,57.9425988947047,0.5,418.675413131713,3.3,9.3,0
12.43,941.184975226089,100,0.5,474.200716018676,3,8.1,0
11.72,944.586599354048,100,0.5,511.899461746215,2.2,5.2,0
19.06,941.380599013182,55.2989553391578,0.5,397.805442810058,4.9,6.6,0
12.51,945.746589644527,100,0.5,497.148504257202,2.3,4.7,0
18.91,933.121328377761,75.9720215032967,207.3,1803.02189826965,45.3,58.8,1
34.7,937.282693575139,33.6838880504163,13.7,497.620573043823,999.9,1999.9,1
11.64,942.469407098384,100,0.5,451.103916168212,2.8,8.3,0
8.88,941.176344777903,100,0.5,487.723817825317,6.7,9.8,0
30.43,943.840074988174,28.888814639544,0.5,399.1477394104,3.9,9.4,0
10.82,940.589913707192,100,0.5,479.032268524169,3.2,10.4,0
8.78,941.345402207079,100,0.5,496.67405128479,7.3,9.3,0
17.03,940.837039620542,48.7204148566391,0.5,411.563386917114,3.3,9.4,0
12.73,945.834609468236,100,0.5,503.08274269104,2.5,5.1,0
11.29,944.68622424841,100,0.5,492.036809921264,2.2,6.5,0
12.93,939.656493212959,100,0.5,493.149032592773,4.1,5.7,0
9.21,941.974197152628,100,0.5,483.780374526977,7.5,9.3,0
12.75,940.759645652633,100,0.5,502.073040008544,3.1,8.5,0
31.73,944.779575506619,30.8397946406655,0.5,472.774972915649,2.4,6.9,0
13.06,941.791783841532,100,0.5,487.100353240966,3.2,8.8,0
13.34,945.887282154168,100,0.5,482.348670959472,2.6,5.8,0
14.2,938.251091242625,100,0.5,514.226427078247,3.8,6,0
9.6,942.499768544116,100,0.5,485.827198028564,3.3,9.6,0
12.39,941.079071821237,100,0.5,480.063428878784,3.2,9.2,0
14.38,938.261980374433,100,0.5,522.249212265014,3.9,5.9,0
8.91,941.253728275709,100,0.5,481.718053817749,5.9,8.2,0
9.95,940.312096940236,100,0.5,504.684915542602,3.1,10.7,0
11.31,940.741546408942,100,0.5,490.917434692382,3.1,10,0
13.51,938.717168754527,100,0.5,514.145364761352,4.7,6.5,0
11.65,942.705126730081,100,0.5,455.104579925537,3.2,10,0
18.62,939.83108810791,45.7529679008146,0.5,415.729751586914,3.7,11.6,0
39.19,945.067743051976,19.9394902914806,0.5,398.878326416015,2.4,5.5,0
10.06,940.687811391633,100,0.5,481.774082183837,3.5,9.5,0
15.24,944.07094428016,100,0.5,446.292629241943,0.9,2,0
17.13,943.008858383609,59.8530250785586,0.5,397.724380493164,6.6,8.7,0
11.41,942.682351915884,100,0.5,459.061136245727,3.2,10.1,0
10.35,944.193730883622,100,0.5,501.802434921264,2.4,5.3,0
20.14,942.582759457817,43.0134291619543,0.5,397.956838607788,1,3.2,0
11.21,944.463796968739,100,0.5,513.908138275146,2.5,5.8,0
11.8,945.655505107379,100,0.5,497.991313934326,2.1,4.3,0
14.08,938.431587265083,100,0.5,502.244701385498,3.8,6.2,0
18.03,943.5122756083,52.5069366115537,0.5,397.830476760864,0.8,3.2,0
8.88,942.523771345945,100,0.5,475.737323760986,3.7,10.6,0
11.21,940.537493407261,100,0.5,493.82375717163,3.3,9.5,0
18.55,933.136666066189,62.7168835467508,16.6,515.597333908081,19,49.1,1
12.85,939.796920569922,100,0.5,504.112710952758,4.1,6.8,0
30.07,942.658661998628,29.419814939338,0.5,398.23221206665,8,9.5,0
21.4,944.065805589379,41.7034315283246,0.5,398.015251159667,0.7,1.8,0
10.18,940.692036025424,100,0.5,482.796897888183,3.5,9.7,0
17.47,940.192763300914,44.3345180201182,0.5,409.703722000122,3.3,8.4,0
14.18,944.80490905166,100,0.5,461.127033233642,1,3.3,0
16.59,943.002623832993,61.0339605443046,0.5,413.623323440551,5.3,6.6,0
13.19,941.409112204517,100,0.5,507.108440399169,2.8,8,0
14.82,942.959411189236,100,0.5,491.863956451416,3.4,11,0
12.51,945.906875085157,100,0.5,492.158403396606,2.5,6.1,0
18.42,943.534568879354,51.9112248227057,0.5,397.828092575073,0.8,3.3,0
21.75,943.804446234213,41.0042526844214,0.5,397.960414886474,0.8,1.8,0
11.08,942.980434350643,100,0.5,454.131832122802,3.4,9.2,0
17.53,941.530440557485,54.8797716171653,0.5,424.702634811401,3.5,11.3,0
16.67,940.307789153663,44.8000962918996,0.5,406.669845581054,3.5,10.4,0
11.11,940.96036478976,100,0.5,512.981882095336,3.9,5.5,0
10.57,944.118709600726,100,0.5,496.777763366699,2.6,4.6,0
13.4,938.683292525822,100,0.5,519.050827026367,4.4,5.8,0
27.55,942.208903870487,33.7390527003136,0.5,465.677251815795,8.3,9.8,0
10.14,944.107246901289,100,0.5,493.804683685302,2.5,5.5,0
9.1,941.221214963541,100,0.5,505.671968460083,4,6.2,0
34.7,944.739681930453,26.620772706576,0.5,475.819578170776,2.2,6.1,0
21.04,945.267782008457,43.515857028865,0.5,412.077178955078,2.4,4.7,0
12.92,940.827276494406,100,0.5,482.125749588012,3.1,10.6,0
11.15,944.517058243313,100,0.5,500.989427566528,2.4,5.1,0
19.95,942.839665489986,44.8032840140568,0.5,397.854318618774,0.8,2.4,0
18.53,932.780791516006,81.5090065793039,308,2471.74905776977,51,64.9,1
9.1,942.43464291291,100,0.5,469.87937927246,3.4,8.2,0
9.11,941.228001455868,100,0.5,504.638423919677,4,6.2,0
10.97,940.480045871413,100,0.5,478.038063049316,3.2,10.3,0
12.89,940.628713231787,100,0.5,495.118370056152,3,8.8,0
33.49,937.517018913986,33.2491525921664,16.8,490.769615173339,999.9,1577.7,1
36.41,944.794776926641,24.6015458350338,0.5,477.048625946044,2.1,5.2,0
14.12,938.469605361281,100,0.5,514.201393127441,3.8,6.4,0
15.55,941.710267263965,62.4122243602221,0.5,399.626960754394,3.3,9.4,0
11.22,942.764044287206,100,0.5,457.109680175781,3.2,8.6,0
20.52,939.954046259712,49.055834191116,0.5,402.981510162353,3.8,4.8,0
11.18,940.94545377294,100,0.5,520.616044998168,4.1,5.6,0
19.44,944.664952118252,56.4757231171506,0.5,458.713045120239,2.2,5.8,0
10.29,940.683527583081,100,0.5,489.846935272216,3.4,9,0
9.85,941.482101169715,100,0.5,507.898797988891,3.9,6.2,0
17.91,942.978676904727,53.2751571075682,0.5,403.689613342285,5.7,7.1,0
9.18,942.466138463321,100,0.5,493.8583278656,4,10,0
12.06,940.784575122801,100,0.5,496.078004837036,3.7,6.2,0
18.75,942.658004070782,57.6514946794753,0.5,426.73038482666,5.5,7,0
18.84,942.883209726487,62.4007095904349,0.5,408.806076049804,0.7,2.2,0
11.2,944.492142632937,100,0.5,514.835586547851,2.1,4.7,0
14.39,944.52126253923,100,0.5,473.23631286621,0.8,2.6,0
17.4,940.180662339432,43.3086770020182,0.5,420.678129196166,3.3,9.2,0
11.7,942.372536311872,100,0.5,448.178520202636,2.8,8.5,0
18.91,943.366860104035,48.6498583166799,0.5,397.906770706176,1,4.3,0
12.75,945.765675047105,100,0.5,492.232313156127,2.3,4.9,0
14.15,938.242188274498,100,0.5,512.222518920898,4,6.1,0
32.94,937.54056992836,36.0425139993736,24.3,505.691041946411,999.9,1999.9,1
17.02,940.629845466392,50.8275866633428,0.5,406.607856750488,3.1,8.8,0
17.32,940.567564896823,49.840900370038,0.5,421.622266769409,3.2,8.6,0
19.29,941.626639756073,59.9864996553363,0.5,412.921180725097,5.6,6.3,0
19.76,943.045797083161,44.6516353574262,0.5,397.9270362854,0.9,2.8,0
